מספר סידורי,מספר לפי מתחרים,שם המוצר,מקט,שם המוצר מהאתר,חברה/מותג,תאריך,מחיר רגיל,מחיר ליחידה/משקל,מחיר מבצע,מחיר מבצע ליח'
22,8,"נקניקיות 1 ק""ג מותג הבית",7290012228001,נקניקיות עוף רמי לוי,לא ידוע,2017-07-17 14:44:44,19.90,0.0199,,
23,8,זוגלובק,7290000537603,נקניקיות עוף זוגלובק,זוגלובק,2020-03-13 11:13:26,22.90,0.0229,,
24,8,טירת צבי,7290000364858,נקניקיות עוף טרי טיר,טירת צבי,2019-05-02 14:43:02,22.90,0.0229,,
25,9,נקניקיות מרגז 400 ג' מותג הבית,7290004229443,מוצר לא נמצא,,,,,,
26,9,זוגלובק,7290012226007,מוצר לא נמצא,,,,,,
27,10, (רמי לוי 10) 6 לחמניות מותג הבית,7290016865554,10 לחמניות רגילות 75,לא ידוע,2020-04-16 05:56:57,9.90,0.1320,,
28,10,אנג'ל,7290002065555,לחמניות אנג'ל 6 יחיד,אנג'ל,2020-04-16 05:56:45,11.90,1.9833,,
29,11,תירוש 1 ל' מותג הבית,7290017812083,מיץ תירוש אדום רמי ל,לא ידוע,2019-01-31 12:52:48,12.90,12.9000,,
30,11,תירוש כרמל,7290004658625,מוצר לא נמצא,,,,,,
31,11,יין מתוק לקידוש סגל,7290000024523,תירוש של סגל 1 ליטר,סגל,2018-01-08 13:00:18,12.90,12.9000,,
32,12,קפה נמס מותג הבית,7290014704145,קפה נמס רמי לוי 200,רמי לוי,2017-05-11 12:57:18,14.90,0.0745,,
